2024-10-27 21:02:24 - iter: 1883/376600, epoch: 200, lr: 0.00039997541431368715 Train MRAE: 0.174800306558609, Test mrae: 0.05423704534769058, Test rmse: 0.007057582959532738, Test psnr: 44.869876861572266, Test ssim: 0.9935337901115417, Test sam: 0.0450349785387516
2024-10-27 21:24:40 - iter: 3766/376600, epoch: 200, lr: 0.0003999016110606468 Train MRAE: 0.04708370193839073, Test mrae: 0.03281935676932335, Test rmse: 0.004527834709733725, Test psnr: 48.78911209106445, Test ssim: 0.9979651570320129, Test sam: 0.029487060382962227
2024-10-27 21:47:00 - iter: 5649/376600, epoch: 200, lr: 0.00039977860844378916 Train MRAE: 0.03621891140937805, Test mrae: 0.031069263815879822, Test rmse: 0.004150321241468191, Test psnr: 49.41909408569336, Test ssim: 0.9985698461532593, Test sam: 0.02231481671333313
2024-10-27 22:09:20 - iter: 7532/376600, epoch: 200, lr: 0.00039960643681216635 Train MRAE: 0.029494287446141243, Test mrae: 0.028110403567552567, Test rmse: 0.0038235103711485863, Test psnr: 50.3323860168457, Test ssim: 0.9986292719841003, Test sam: 0.020062508061528206
2024-10-27 22:31:46 - iter: 9415/376600, epoch: 200, lr: 0.00039938513864655554 Train MRAE: 1.1306995153427124, Test mrae: 0.12507587671279907, Test rmse: 0.015407492406666279, Test psnr: 37.91210174560547, Test ssim: 0.9822598695755005, Test sam: 0.0958811566233635
2024-10-27 22:54:10 - iter: 11298/376600, epoch: 200, lr: 0.0003991147685489645 Train MRAE: 0.07559966295957565, Test mrae: 0.0379742793738842, Test rmse: 0.005337008740752935, Test psnr: 47.62300109863281, Test ssim: 0.9967970252037048, Test sam: 0.03304024040699005
2024-10-27 23:16:45 - iter: 13181/376600, epoch: 200, lr: 0.00039879539322917277 Train MRAE: 0.03894972801208496, Test mrae: 0.035406723618507385, Test rmse: 0.004460780415683985, Test psnr: 48.74171829223633, Test ssim: 0.997904360294342, Test sam: 0.029450608417391777
2024-10-27 23:39:14 - iter: 15064/376600, epoch: 200, lr: 0.0003984270914882588 Train MRAE: 0.030113978311419487, Test mrae: 0.026233362033963203, Test rmse: 0.003633403917774558, Test psnr: 50.91145706176758, Test ssim: 0.9988505244255066, Test sam: 0.02111686021089554
2024-10-28 00:01:37 - iter: 16947/376600, epoch: 200, lr: 0.0003980099541991654 Train MRAE: 2.8227925300598145, Test mrae: 1.103056788444519, Test rmse: 0.12160030752420425, Test psnr: 21.168346405029297, Test ssim: 0.5944089889526367, Test sam: 0.8344078660011292
2024-10-28 00:24:07 - iter: 18830/376600, epoch: 200, lr: 0.0003975440842842777 Train MRAE: 0.26619449257850647, Test mrae: 0.07935180515050888, Test rmse: 0.009624856524169445, Test psnr: 42.32500076293945, Test ssim: 0.9906123876571655, Test sam: 0.06606893986463547
2024-10-28 00:47:04 - iter: 20713/376600, epoch: 200, lr: 0.00039702959669003004 Train MRAE: 0.07815983146429062, Test mrae: 0.04391409829258919, Test rmse: 0.005435559432953596, Test psnr: 47.031761169433594, Test ssim: 0.9969552159309387, Test sam: 0.03979451209306717
