2024-10-18 09:10:16 - iter: 1000/300000, epoch: 300, lr: 0.0003999890831547049 Train MRAE: 0.19131776690483093, Test mrae: 0.07131, Test rmse: 0.00883, Test psnr: 18.61802, Test ssim: 0.99038, Test sam: 0.05929
2024-10-18 09:22:14 - iter: 2000/300000, epoch: 300, lr: 0.000399956290094343 Train MRAE: 0.1279180943965912, Test mrae: 0.04825, Test rmse: 0.00588, Test psnr: 18.60580, Test ssim: 0.99538, Test sam: 0.03942
2024-10-18 09:34:12 - iter: 3000/300000, epoch: 300, lr: 0.0003999016244041045 Train MRAE: 0.10048413276672363, Test mrae: 0.03837, Test rmse: 0.00432, Test psnr: 18.62348, Test ssim: 0.99725, Test sam: 0.03327
2024-10-18 09:46:10 - iter: 4000/300000, epoch: 300, lr: 0.0003998250920786969 Train MRAE: 0.08450769633054733, Test mrae: 0.03147, Test rmse: 0.00423, Test psnr: 18.60145, Test ssim: 0.99816, Test sam: 0.02760
2024-10-18 09:58:07 - iter: 5000/300000, epoch: 300, lr: 0.0003997267015107543 Train MRAE: 0.07389683276414871, Test mrae: 0.02451, Test rmse: 0.00308, Test psnr: 18.59929, Test ssim: 0.99878, Test sam: 0.02181
2024-10-18 10:10:05 - iter: 6000/300000, epoch: 300, lr: 0.0003996064634899109 Train MRAE: 0.06628535687923431, Test mrae: 0.02358, Test rmse: 0.00276, Test psnr: 18.60274, Test ssim: 0.99903, Test sam: 0.02174
2024-10-18 10:22:01 - iter: 7000/300000, epoch: 300, lr: 0.00039946439120161904 Train MRAE: 0.060068413615226746, Test mrae: 0.01971, Test rmse: 0.00247, Test psnr: 18.59016, Test ssim: 0.99929, Test sam: 0.01752
2024-10-18 10:33:58 - iter: 8000/300000, epoch: 300, lr: 0.00039930050022570656 Train MRAE: 0.05522758141160011, Test mrae: 0.02340, Test rmse: 0.00327, Test psnr: 18.61365, Test ssim: 0.99918, Test sam: 0.02152
2024-10-18 10:45:56 - iter: 9000/300000, epoch: 300, lr: 0.00039911480853466663 Train MRAE: 0.051273711025714874, Test mrae: 0.01445, Test rmse: 0.00171, Test psnr: 18.59960, Test ssim: 0.99956, Test sam: 0.01213
2024-10-18 10:57:52 - iter: 10000/300000, epoch: 300, lr: 0.0003989073364916855 Train MRAE: 0.04791635274887085, Test mrae: 0.01405, Test rmse: 0.00163, Test psnr: 18.59955, Test ssim: 0.99962, Test sam: 0.01165
2024-10-18 11:09:48 - iter: 11000/300000, epoch: 300, lr: 0.00039867810684841187 Train MRAE: 0.04519611597061157, Test mrae: 0.01693, Test rmse: 0.00176, Test psnr: 18.59791, Test ssim: 0.99949, Test sam: 0.01286
2024-10-18 11:21:44 - iter: 12000/300000, epoch: 300, lr: 0.0003984271447424574 Train MRAE: 0.042924657464027405, Test mrae: 0.01694, Test rmse: 0.00184, Test psnr: 18.59490, Test ssim: 0.99951, Test sam: 0.01344
2024-10-18 11:33:40 - iter: 13000/300000, epoch: 300, lr: 0.00039815447769464416 Train MRAE: 0.040924981236457825, Test mrae: 0.01422, Test rmse: 0.00178, Test psnr: 18.58557, Test ssim: 0.99965, Test sam: 0.01218
2024-10-18 11:45:37 - iter: 14000/300000, epoch: 300, lr: 0.0003978601356059895 Train MRAE: 0.03918735310435295, Test mrae: 0.02931, Test rmse: 0.00271, Test psnr: 18.59728, Test ssim: 0.99913, Test sam: 0.02417
2024-10-18 11:57:34 - iter: 15000/300000, epoch: 300, lr: 0.0003975441507544174 Train MRAE: 0.03767703101038933, Test mrae: 0.01582, Test rmse: 0.00187, Test psnr: 18.59564, Test ssim: 0.99951, Test sam: 0.01242
2024-10-18 12:09:31 - iter: 16000/300000, epoch: 300, lr: 0.000397206557791231 Train MRAE: 0.036310769617557526, Test mrae: 0.01417, Test rmse: 0.00167, Test psnr: 18.58990, Test ssim: 0.99965, Test sam: 0.01201
2024-10-18 12:21:27 - iter: 17000/300000, epoch: 300, lr: 0.00039684739373730126 Train MRAE: 0.035088736563920975, Test mrae: 0.01968, Test rmse: 0.00234, Test psnr: 18.60371, Test ssim: 0.99925, Test sam: 0.01509
2024-10-18 12:33:23 - iter: 18000/300000, epoch: 300, lr: 0.00039646669797901367 Train MRAE: 0.03399183601140976, Test mrae: 0.01512, Test rmse: 0.00163, Test psnr: 18.60434, Test ssim: 0.99957, Test sam: 0.01125
2024-10-18 12:45:22 - iter: 19000/300000, epoch: 300, lr: 0.00039606451226394807 Train MRAE: 0.03302817419171333, Test mrae: 0.01313, Test rmse: 0.00137, Test psnr: 18.59130, Test ssim: 0.99968, Test sam: 0.00918
2024-10-18 12:57:20 - iter: 20000/300000, epoch: 300, lr: 0.0003956408806963011 Train MRAE: 0.0321366973221302, Test mrae: 0.01394, Test rmse: 0.00191, Test psnr: 18.59733, Test ssim: 0.99964, Test sam: 0.01216
2024-10-18 13:09:17 - iter: 21000/300000, epoch: 300, lr: 0.0003951958497320489 Train MRAE: 0.03133349120616913, Test mrae: 0.01184, Test rmse: 0.00155, Test psnr: 18.58871, Test ssim: 0.99978, Test sam: 0.00970
2024-10-18 13:21:13 - iter: 22000/300000, epoch: 300, lr: 0.00039472946817385116 Train MRAE: 0.03057670034468174, Test mrae: 0.01494, Test rmse: 0.00166, Test psnr: 18.59420, Test ssim: 0.99963, Test sam: 0.01112
2024-10-18 13:33:10 - iter: 23000/300000, epoch: 300, lr: 0.0003942417871657005 Train MRAE: 0.02988486737012863, Test mrae: 0.01032, Test rmse: 0.00140, Test psnr: 18.59155, Test ssim: 0.99983, Test sam: 0.00906
2024-10-18 13:45:08 - iter: 24000/300000, epoch: 300, lr: 0.0003937328601873146 Train MRAE: 0.02927183173596859, Test mrae: 0.01245, Test rmse: 0.00156, Test psnr: 18.59882, Test ssim: 0.99976, Test sam: 0.00979
2024-10-18 13:57:06 - iter: 25000/300000, epoch: 300, lr: 0.00039320274304827357 Train MRAE: 0.028704596683382988, Test mrae: 0.01460, Test rmse: 0.00159, Test psnr: 18.60564, Test ssim: 0.99968, Test sam: 0.01106
2024-10-18 14:09:05 - iter: 26000/300000, epoch: 300, lr: 0.00039265149388189447 Train MRAE: 0.028171658515930176, Test mrae: 0.01373, Test rmse: 0.00180, Test psnr: 18.60453, Test ssim: 0.99973, Test sam: 0.01156
2024-10-18 14:21:02 - iter: 27000/300000, epoch: 300, lr: 0.00039207917313886017 Train MRAE: 0.02767059952020645, Test mrae: 0.01369, Test rmse: 0.00153, Test psnr: 18.60393, Test ssim: 0.99969, Test sam: 0.01013
