2024-10-27 03:29:03 - iter: 1883/376600, epoch: 200, lr: 0.00039997541431368715 Train MRAE: 0.09291598945856094, Test mrae: 0.03790619596838951, Test rmse: 0.005269876681268215, Test psnr: 18.56940460205078, Test ssim: 0.9971374869346619, Test sam: 0.03221848979592323
2024-10-27 03:51:16 - iter: 3766/376600, epoch: 200, lr: 0.0003999016110606468 Train MRAE: 0.03202291578054428, Test mrae: 0.023580171167850494, Test rmse: 0.003106296295300126, Test psnr: 18.57715606689453, Test ssim: 0.9988542199134827, Test sam: 0.021276967599987984
2024-10-27 04:13:40 - iter: 5649/376600, epoch: 200, lr: 0.00039977860844378916 Train MRAE: 0.023638688027858734, Test mrae: 0.01825857162475586, Test rmse: 0.0023295937571674585, Test psnr: 18.59075927734375, Test ssim: 0.9993584752082825, Test sam: 0.015776915475726128
2024-10-27 04:36:00 - iter: 7532/376600, epoch: 200, lr: 0.00039960643681216635 Train MRAE: 0.01980438642203808, Test mrae: 0.017147259786725044, Test rmse: 0.0021805756259709597, Test psnr: 18.58706283569336, Test ssim: 0.9994861483573914, Test sam: 0.014677075669169426
2024-10-27 04:58:24 - iter: 9415/376600, epoch: 200, lr: 0.00039938513864655554 Train MRAE: 0.0173418577760458, Test mrae: 0.015001872554421425, Test rmse: 0.001742050633765757, Test psnr: 18.603958129882812, Test ssim: 0.9995042085647583, Test sam: 0.01184542290866375
2024-10-27 05:20:47 - iter: 11298/376600, epoch: 200, lr: 0.0003991147685489645 Train MRAE: 0.01624142751097679, Test mrae: 0.013293773867189884, Test rmse: 0.0016956458566710353, Test psnr: 18.604759216308594, Test ssim: 0.999660074710846, Test sam: 0.010702469386160374
2024-10-27 05:43:15 - iter: 13181/376600, epoch: 200, lr: 0.00039879539322917277 Train MRAE: 0.015137890353798866, Test mrae: 0.01354252640157938, Test rmse: 0.0017123876605182886, Test psnr: 18.61839485168457, Test ssim: 0.9997256994247437, Test sam: 0.010540619492530823
2024-10-27 06:05:39 - iter: 15064/376600, epoch: 200, lr: 0.0003984270914882588 Train MRAE: 0.014190820045769215, Test mrae: 0.012761001475155354, Test rmse: 0.0016955439932644367, Test psnr: 18.604167938232422, Test ssim: 0.9996448159217834, Test sam: 0.011490610428154469
2024-10-27 06:28:05 - iter: 16947/376600, epoch: 200, lr: 0.0003980099541991654 Train MRAE: 0.013655003160238266, Test mrae: 0.010992932133376598, Test rmse: 0.001177436439320445, Test psnr: 18.5996036529541, Test ssim: 0.9998011589050293, Test sam: 0.008747450076043606
2024-10-27 06:50:34 - iter: 18830/376600, epoch: 200, lr: 0.0003975440842842777 Train MRAE: 0.013311435468494892, Test mrae: 0.011838667094707489, Test rmse: 0.0014030842576175928, Test psnr: 18.582487106323242, Test ssim: 0.9997633695602417, Test sam: 0.008584219962358475
2024-10-27 07:12:59 - iter: 20713/376600, epoch: 200, lr: 0.00039702959669003004 Train MRAE: 0.012964693829417229, Test mrae: 0.010815519839525223, Test rmse: 0.001371855498291552, Test psnr: 18.605419158935547, Test ssim: 0.9998033046722412, Test sam: 0.008740616030991077
2024-10-27 07:35:27 - iter: 22596/376600, epoch: 200, lr: 0.00039646661835853256 Train MRAE: 0.01274410355836153, Test mrae: 0.009142155759036541, Test rmse: 0.001121808192692697, Test psnr: 18.581239700317383, Test ssim: 0.9998597502708435, Test sam: 0.007148045115172863
2024-10-27 07:57:53 - iter: 24479/376600, epoch: 200, lr: 0.0003958552881962656 Train MRAE: 0.012094379402697086, Test mrae: 0.011106032878160477, Test rmse: 0.0014066994190216064, Test psnr: 18.592880249023438, Test ssim: 0.9998270273208618, Test sam: 0.009009077213704586
